category;category;category;sku;name;size;color;description;price;style;activity;materials;sleeve_length;collar;pattern;climate;cost
Men;Tops;Jackets;MJ03-ME-BR;Montana Wind Jacket;"XS
S
M
L
XL
";"White
Red 
Black
Grey
";"Light-as-a-feather wind protection for runners, walkers and outdoor fitness buffs, the Montana Wind Jacket can be stuffed into your pocket for portable protection. Its stylish, move-with-you design makes it especially versatile.

Adjustable hood. 
Split pocket. 
Thumb holes. 
Machine wash/hang to dry.";49,99;"Lightweight
Hooded
Hard Shell
Windbreaker
Full zip
";"Outdoor
Warmup
Lounge
";"
Nylon
Polyester
";Long-Sleeve;N/A;Solid;"Cool
Mild
Spring
Windy
";$0,00
Men;Tops;Jackets;MS12-ME-OR;Proteus Fitness Jackshirt;"XS
S
M
L
XL
";"Orange
Blue
Black
Grey
";"Part jacket, part shirt, the Proteus Fitness Jackshirt makes an ideal companion for outdoor training, camping or loafing on crisp days. Natural Cocona® technology brings breathable comfort and increased dryness along with UV protection and odor management. The drop-tail hem provides extra coverage when you're riding a bike or replacing a sink valve.

• 1/4 zip. Stand-up collar. 
• Machine wash/dry.
• Quilted inner layer.";45,5;"Insulated
Heavy Duty
Soft Shell
? zip 
";"Gym
Outdoor
Running
Warmup
";"
Wool
Fleece
Polyester
";Long-Sleeve;N/A;Solid;"All-weather
Cool
Indoor
Spring
";$0,00
Men;Tops;Hoodies & Sweatshirts;MH01-ME-GR;Chaz Kangeroo Hoodie;"XS
S
M
L
XL
";Gray;"Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat. An extra-large kangaroo pocket protects your hands from the biting cold.

• Two-tone gray heather hoodie.
• Drawstring-adjustable hood. 
• Machine wash/dry.";45;"Hooded
Soft Shell
";"Gym
Outdoor
Running
Warmup
Lounge
";"Wool
";Long-Sleeve;"? zip
";"
Color-Blocked
";"All-weather
Cool
Indoor
Spring
Windy
";$15,00
Men;Tops;Hoodies & Sweatshirts;MH02-ME-BL;Teton Pullover Hoodie;"XS
S
M
L
XL
";Black;"This Men's Pulloever Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely. 

• Black pullover hoodie.
• Soft, brushed interior. 
• Front hand pockets. 
• Machine wash/dry.";70;"Insulated
Hooded
Soft Shell
? zip 
";"Gym
Outdoor
Running
Warmup
Lounge
";"Wool
Fleece
Nylon
";Long-Sleeve;"
? zip
";Solid;"All-weather
Cool
Indoor
Spring
Windy";$20,00
Men;Tops;Hoodies & Sweatshirts;MH03-ME-BL;Bruno Compete Hoodie;"XS
S
M
L
XL
";Black;"Stay comfortable and stay in the race no matter what the weather's up to. The Bruno Compete Hoodie’s water-repellent exterior shields you from the elements, while advanced fabric technology inside wicks moisture to keep you dry.

• Full zip black hoodie pullover. 
• Adjustable drawstring hood. 
• Ribbed cuffs/waistband. 
• Kangaroo pocket. 
• Machine wash/dry.";63,99;"
Hooded
Soft Shell
";"
Warmup
Lounge
";"
Organic Cotton
";Long-Sleeve;"
? zip
";Solid;"All-weather
Cool
Indoor
Spring
Windy";$20,98
Men;Tops;Hoodies & Sweatshirts;MH04-ME-MI;Frankie  Sweatshirt;"XS
S
M
L
XL
";Mint;"The Frankie Sweatshirt is your best friend at long afternoon stadium stints or winter trailside campsites. The soft fleece fabric keeps you toasty as moisture-wicking technology kicks in when the sun comes out. 

• Light green crewneck sweatshirt.
• Hand pockets.
• Relaxed fit.
• Machine wash/dry.";50;"Lightweight
Soft Shell
";"Gym
Outdoor
Yoga
Lounge
";"
Organic Cotton
";Long-Sleeve;"
Crew
";Solid;"All-weather
Cool
Indoor
Spring
Windy";$16,08
Men;Tops;Hoodies & Sweatshirts;MH05-ME-CN;Hollister Backyard Sweatshirt;"XS
S
M
L
XL
";Cream/Navy;"Kick off your weekend in the Hollister Backyard Sweatshirt. Whether you’re raking leaves or flipping burgers, this comfy layer blocks the bite of the crisp autumn air. Puffy thick from hood to hem, it traps heat against your core. A large kangaroo pocket warms hands and stores stuff, too.

• Cream crewneck sweatshirt with navy sleeves/trim.
• Relaxed fit. 
• Ribbed cuffs and hem. 
• Machine wash/dry.";52,5;"Insulated
Lightweight
Soft Shell
";"Gym
Outdoor
Running
Warmup
Yoga
Lounge
";"Wool
Polyester
Nylon
";Long-Sleeve;"
Crew
";Color-Blocked;Cool;$17,48
Men;Tops;Hoodies & Sweatshirts;MH06-ME-NA;Stark Fundamental Hoodie;"XS
S
M
L
XL
";Heather Navy;"You don't need bells and whistles when performance speaks for itself. The full-zip Stark Fundamental Hoodie give just what you need. Hood and fleece lining keep you warm, while breathable fabric and wicking technology won’t let you overheat. 

• Navy specked full zip hoodie.
• Ribbed cuffs, banded waist.
• Side pockets. 
• Machine wash/dry.";42;"Lightweight
Hooded
Soft Shell
Reversible
";"Outdoor
Running
Warmup
Lounge
";"Wool
Polyester
Nylon
";Long-Sleeve;"
Full zip
";Solid;"All-weather
Cool
Indoor
Spring";$16,08
Men;Tops;Hoodies & Sweatshirts;MH07-ME-GB;Hero Hoodie;"XS
S
M
L
XL
";Gray/Black;"gray and black color blocking sets you apart as the Hero Hoodie keeps you warm on the bus, campus or cold mean streets. Slanted outsize front pockets keep your style real . . . convenient. 

• Full-zip gray and black hoodie.
• Ribbed hem.
• Standard fit.
• Drawcord hood cinch.
• Water-resistant coating.
";54;"Insulated
Hooded
Soft Shell
";"
Outdoor
Warmup
Lounge
";"Fleece
Hemp
Polyester
";Long-Sleeve;"
Full zip
";Color-Blocked;Spring;$20,98
Men;Tops;Hoodies & Sweatshirts;MH08-ME-BR;Oslo Trek Hoodie;"XS
S
M
L
XL
";Brown;"Chilly weather is just an excuse to throw on your toasty, handsome new Oslo Trek Hoodie. It features an adjustable drawstring hood and a kangaroo pocket for extra hand warmth. The ultra-soft, cozy lining will have you wishing for more brisk days.

• Brown hoodie with black detail.
• Pullover. 
• Adjustable drawstring hood. 
• Ribbed cuffs/waistband. 
• Machine wash/dry.";42;"Insulated
Hooded 
";"
Outdoor
Running
";"Organic Cotton
Polyester
Nylon
";Long-Sleeve;"? zip
";Solid;"Windy
Cool";$12,48
Men;Tops;Hoodies & Sweatshirts;MH09-ME-BL;Abominable Hoodie;"XS
S
M
L
XL
";Blue;"It took CoolTech™ weather apparel know-how and lots of wind-resistant fabric to get the full-zip Abominable Hoodie just right. It’s aggressively warm when it needs to be, while maintaining your comfort in milder climes. 

• Blue heather hoodie.
• Relaxed fit. 
• Moisture-wicking. 
• Machine wash/dry.";69,99;"Insulated
Hooded
Soft Shell
";"
Outdoor
Running
Warmup
";"CoolTech™
Wool
Nylon
";Long-Sleeve;"Boat Neck
";Solid;"Spring
Windy";$22,99
Men;Tops;Hoodies & Sweatshirts;MH10-ME-NV;Mach Street Sweatshirt ;"XS
S
M
L
XL
";Navy;"From hard streets to asphalt track, the Mach Street Sweatshirt holds up to wear and wind and rain. An infusion of performance and stylish comfort, with moisture-wicking LumaTech™ fabric, it’s bound to become an everyday part of your active lifestyle

• Navy heather crewneck sweatshirt.
• LumaTech™ moisture-wicking fabric.
• Antimicrobial, odor-resistant.
• Zip hand pockets.
• Chafe-resistant flatlock seams.
• Rib-knit cuffs and hem.";53,5;"Lightweight
Soft Shell
";"Gym
Running
Yoga
Lounge
";"Wool
LumaTech™
";Long-Sleeve;"Crew
";Solid;"All-weather
Cool
Indoor
Spring";$13,49
Men;Tops;Hoodies & Sweatshirts;MH11-ME-CR;Grayson Crewneck Sweatshirt ;"XS
S
M
L
XL";Cream/Black;"The Grayson Crewneck Sweatshirt gives you that ageless, classic look – a style that comes back around nearly every season. What’s more, its performance and temp-control values are always in vogue. Zip it and go. 

• Cream crewneck sweatshirt with black accents.
• 80% cotton/20% polyester fleece. 
• Quarter-zip sweatshirt
• Patterned knit hood lining. 
• Knit cuffs and waist. 
• Pouch pocket. 
• Curl edged seam detail";64;"Lightweight
Soft Shell
";"
Outdoor
Lounge
";"
Fleece
Organic Cotton
";Long-Sleeve;"Crew
";Color-Blocked;"All-weather
Cool
Indoor
Spring
Windy";$16,08
Men;Tops;Hoodies & Sweatshirts;MH12-ME-GG;Ajax Full-Zip Sweatshirt ;"XS
S
M
L
XL
";Green/Gray;"The Ajax Full-Zip Sweatshirt makes the optimal layering or outer piece for archers, golfers, hikers and virtually any other sportsmen. Not only does it have top-notch moisture-wicking abilities, but the tight-weave fabric also prevents pilling from repeated wash-and-wear cycles. 

• Mint striped full zip hoodie.
• 100% bonded polyester fleece.
• Pouch pocket.
• Rib cuffs and hem. 
• Machine washable.";69,99;"Hooded
Soft Shell

";;"
Fleece
Polyester
";Long-Sleeve;"Full Zip
";Striped;"All-weather
Cool
Indoor
Spring
Windy";$23,80
Men;Tops;Hoodies & Sweatshirts;MH13-ME-LB;Marco Lightweight Active Hoodie;"XS
S
M
L
XL
";Light Blue;"For cold-weather training or post-game layering, you need something more than a basic fleece. Our Marco Lightweight Active Hoodie brings both style and performance to the plate, court, or touchline. The smooth-faced, brushed-back fabric blocks wind and traps body heat, while integrated Cocona® fibers pull moisture away. 

• Light blue heather full zip hoodie.
• Fitted flatlock seams.
• Matching lining and drawstring. 
• Machine wash/dry.";74,5;"Lightweight
Hooded
Soft Shell
";"
Outdoor
Running
Warmup
";"Cocona® Performance Fabric
Fleece

";Long-Sleeve;Full Zip;Solid;"All-weather
Cool
Indoor
Spring
Windy";$24,97
Men;Tops;Tees;MS04-ME-OR;Gobi HeatTec® Tee;"XS
S
M
L
XL
";"Orange
Blue
Green
Black
Grey
";"When the training gets intense, the Gobi HeatTec® Tee works as hard as you do to maintain your cool. The moisture-wicking material promises drier comfort, while breathable side panels deliver extra stretch that's sure to keep you moving.

• Orange micropolyester shirt.
• HeatTec® wicking fabric.
• Crew neckline. 
• Machine wash/dry.";29,99;Tee;"Gym
Outdoor
Running
Yoga
";"Cotton
HeatTec®
Polyester
";Short-Sleeve;Crew;Solid;"All-weather
Indoor
Warm
";$9,99
Men;Tops;Tees;MS05-ME-TE;Helios EverCool™ Tee;"XS
S
M
L
XL
";"

Green
Teal
Red 
Black
Grey
";"Pumping iron or dialing the track, you've got cool comfort on your side in our short-sleeve Helios EverCool™ Tee. The fabric is infused with moisture-wicking technology that pulls sweat off your skin for speedy evaporation. Stretchy fabric gussets encourage ventilation while increasing your range of motion.

• Teal quick dry tee.
• Relaxed fit. 
• Crew neckline. 
• Machine wash/dry.";24;Tee;"Gym
Outdoor
Running
Yoga";"
EverCool™
Lycra®
Organic Cotton";Short-Sleeve;Crew;Solid;"All-weather
Indoor
Warm
";$8,00
Men;Tops;Tees;MS09-ME-RO;Ryker LumaTech™ Tee (Crew-neck);"XS
S
M
L
XL
";"Blue
Green
Teal 
Black
Grey";"The crew-neck Ryker LumaTech™ Tee hides premium performance technology beneath unassuming looks. The featherweight blend of fabrics wicks away moisture to keep you cool and dry in every phase of your active life. 

• Royal polyester tee with black accents.
• Relaxed fit. 
• Short sleeve. 
• Machine wash/dry.";32,5;Tee;"Gym
Outdoor
Running
Yoga";"LumaTech™
Polyester
";Short-Sleeve;Crew;Solid;"All-weather
Indoor
Warm
";$10,00
Men;Tops;Tees;MS11-ME-LI;Atomic Endurance Running Tee (V-neck);"XS
S
M
L
XL
";"Blue
Lime-Green
Yellow
Charcoal
Black
Grey";"Reach your limit and keep on going in the Atomic Endurance Running Tee. Built to help any athlete push past the wall with loads of performance features. 

• Lime heathered v-neck tee. 
• Ultra-lightweight.
• Moisture-wicking Cocona® fabric.
• Machine wash/dry.";24,5;Tee;"Gym
Outdoor
Running
Yoga";"Cocona® performance fabric
Organic Cotton
Polyester
";Short-Sleeve;Crew;Solid;"All-weather
Indoor
Warm
";$7,99
Men;Tops;Tees;MS12-ME-RE;Atomic Endurance Running Tee (Crew-Neck);"XS
S
M
L
XL
";"Orange
Red 
Black
Grey
";"Like it’s v-neck counterpart, the crew-neck Atomic Tee will get you to your goal and beyond with its many load-bearing features: ultra-lightweight, moisture-wicking Cocona® fabric, chafe-free flatlock seams and an ergonomic cut that moves with your body.

• Red polyester tee.
• Crew neckline. 
• Cocona® performance fabric. 
• Machine wash/dry.";29,99;Tee;"Gym
Outdoor
Running
Yoga";"Cocona® performance fabric
Organic Cotton
Polyester";Short-Sleeve;Crew;Solid;"All-weather
Indoor
Warm
";$9,99
Men;Tops;Tees;"MS03-ME-BK
MS03-ME-GR
MS03-ME-RO";Balboa Persistence Tee;"XS
S
M
L
XL";"Black
Gray
Blue";"The Balboa Persistence Tee is a must-have for any athlete, Philadelphia or elsewhere. We took the best of performance apparel, cut the fluff and boiled it down to the basics for a lightweight, quick-drying t-shirt.  

• Crew neckline. 
• Semi-fitted. 
• Cocona® performance fabric. 
• Machine wash/dry.";29,99;Tee;"Gym
Outdoor
Running
Yoga";"Cocona® performance fabric
Polyester
";Short-Sleeve;Crew;Solid;"All-weather
Indoor
Warm
";$0,00
Men;Tops;Tees;"MS06-ME-LR
MS06-ME-LL";Zoltan Gym Tee;"XS
S
M
L
XL
";"Light Blue/Royal
Light Blue/Lime";"This short-sleeve wonder works twice as hard to give you good gym days and good looks. The Zoltan Gym Tee helps you stay comfortable, while the looser sleeves and flatlock seams keep you moving in chafe-free comfort.

• Relaxed fit. 
• Crew neckline. 
• Machine wash/dry.";29,99;Tee;"Gym
Outdoor
Running
Yoga";"
Organic Cotton
Polyester
";Short-Sleeve;Crew;Solid;"All-weather
Indoor
Warm
";$0,00
Men;Tops;Tees;"MS01-ME-BK
MS01-ME-GN
MS01-ME-NA
MS01-ME-SA";Aero Daily Fitness Tee;"XS
S
M
L
XL
";"Black
Green
Royal
Tan";"Need an everyday action tee that helps keep you dry? The Aero Daily Fitness Tee is made of 100% polyester wicking knit that funnels moisture away from your skin. Don't be fooled by its classic style; this tee hides premium performance technology beneath its unassuming look.

Relaxed fit. 
Short sleeve. 
Machine wash/dry.";24,5;Tee;"Gym
Outdoor
Running
Yoga";"
Polyester
";Short-Sleeve;Crew;Solid;"All-weather
Indoor
Warm
";$0,00
Men;Tops;Tees;"MS02-ME-GR
MS02-ME-WT";Ryker LumaTech™ Tee (V-neck);"XS
S
M
L
XL
";"Gray
White";"Don't be fooled by its classic style; the Ryker LumaTech™ Tee embodies the future of performance apparel. Its featherweight blend of fabrics wicks away moisture to keep you cool and dry, whether racking up miles, hitting three pointers or strutting the boardwalk.

• Relaxed fit. 
• Short sleeve. 
• Machine wash/dry.";24,5;Tee;"Gym
Outdoor
Running
Yoga";"LumaTech™
Cotton
Rayon
";Short-Sleeve;Crew;Solid;"All-weather
Indoor
Warm
";$0,00
Men;Tops;Tees;"MS10-ME-BK
MS10-ME-NA";Logan  HeatTec® Tee;"XS
S
M
L
XL
";"Black
Royal
Navy";"Soft and lightweight, the Logan HeatTec® Tee gets you through the long haul in total comfort. It boasts superior sweat-wicking performance to keep skin dry and cool, and strategic flat-lock seams to resist chafing.

• Semi-fitted. 
• Crew neckline. 
• Machine wash/tumble dry.";24,5;Tee;"Gym
Outdoor
Running
Yoga";"Cotton
HeatTec®";Short-Sleeve;Crew;Solid;"All-weather
Indoor
Warm
";$0,00
Men;Tops;Tees;"MS07-ME-BB
MS07-ME-GG";Deion Long-Sleeve EverCool™ Tee;"XS
S
M
L
XL
";"Black/Blue
Green/Gray";"When you're training, ordinary tees don't cut it. That's why the Dion Long-Sleeve EverCool™ Tee features revolutionary Cocona® fabric derived from a renewable resource: coconut shells. This unique material protects you from harmful UV rays, wicks away sweat, controls stink and dries quickly.

• Fitted. 
• Contrast inner neck tape. 
• Machine wash/dry.";39,99;Tee;"Gym
Outdoor
Running
Yoga";"Cocona® performance fabric
EverCool™
Organic Cotton
";Long-Sleeve;Crew;Solid;"All-weather
Cool
Indoor
Warm
";$0,00
Men;Tops;Tees;MS08-ME-BK;Strike Endurance Tee;"XS
S
M
L
XL
";Black;"While grit and purpose keeps you going, it helps to have a little extra comfort, too. Our Strike Long-Sleeve Endurance Tee helps ensures a photo-ready finish with advanced sweat-wicking technology for a cool, dry feel. 

• Loose fit. 
• Ribbed cuffs/collar. 
• Machine wash/dry.";39,99;Tee;"Gym
Outdoor
Running
Yoga";"Organic Cotton
Polyester
";Long-Sleeve;Crew;Solid;"All-weather
Cool
Indoor
Warm
";$0,00
Men;Tops;Tanks;MT01-ME-RE;Erikssen CoolTech™ Fitness Tank;"XS
S
M
L
XL
";"Red
Blue
Light Blue
Charcoal
";"A good running tank helps make the miles pass by keep you cool. The Erikssen CoolTech™ Fitness Tank completes that mission, with performance fabric engineered to wick perspiration and promote airflow. 

• Red performance tank.
• Slight scoop neckline. 
• Reflectivity. 
• Machine wash/dry.";29,99;Tank;"Gym
Outdoor
Running
Yoga";"Cotton
HeatTec®
Polyester
";Sleeveless;Crew;Solid;"All-weather
Indoor
Warm
";$12,99
Men;Tops;Tanks;MT02-ME-WH;Tristan Endurance Tank;"XS
S
M
L
XL
";"Blue
White
Red 
";"Push yourself through punishing runs, plyometric workouts, intense competition and more in our athletic Tristan Endurance Tank. Constructed with built-in moisture-wicking technology, it's designed to keep you completely cool and dry on the long haul. 

• White performance tank.
• Stylish contrast stitching. 
• Relaxed fit. 
• Ribbed crew neckline. 
• Machine wash/dry.";29,99;Tank;"Gym
Outdoor
Running
Yoga";"
EverCool™
Lycra®
Organic Cotton";Sleeveless;Crew;Solid;"All-weather
Indoor
Warm
";$12,99
Men;Tops;Tanks;MT03-ME-RE;Primo Endurance Tank;"XS
S
M
L
XL
";"Blue
White
Red ";"Chances are your workout goes beyond free weights, which is why the Primo Endurance Tank employs maximum versatility. Run, lift or play ball – this breathable mesh top will keep you cool during all your activities. 

• Red heather tank with gray pocket.
• Chafe-resistant flatlock seams. 
• Relaxed fit. 
• Contrast topstitching.
• Machine wash/dry.";29,99;Tank;"Gym
Outdoor
Running
Yoga";"LumaTech™
Polyester
";Sleeveless;Scoop-Neck;Solid;"All-weather
Indoor
Warm
";$12,99
Men;Tops;Tanks;MT04-ME-RO;Helios Endurance Tank;"XS
S
M
L
XL
";"
Light Blue
Royal
Charcoal
White
Red 
";"When training pushes your limits, you need gear that works harder than you. Our mesh Helio Training Tank is crafted from super-soft, ultra-lightweight fabric that stretches in all directions to follow your every move, on mat, court or street. 

• Blue heather tank with gray pocket.
• Contrast sides and back inserts.
• Self-fabric binding at neck and armholes. 
• Machine wash/dry.";32,5;Tank;"Gym
Outdoor
Running
Yoga";"Cocona® performance fabric
Organic Cotton
Polyester
";Sleeveless;Scoop-Neck;Solid;"All-weather
Indoor
Warm
";$12,99
Men;Tops;Tanks;MT05-ME-LB;Rocco Gym Tank;"XS
S
M
L
XL
";"Light Blue
Royal
Green
Red 
";"Weights? Heavy Bag? Bikram? However you get sweaty, you'll be prepared with the moisture-wicking all-purpose Rocco Gym Tank. The free-moving cut gives you maximum range of motion, with flatlock seams to eliminate chafing.

• Light blue heather gray tank.
• Quick-drying, moisture-wicking.
• 4-way stretch construction.
• Flatlock seams prevent chafing.
• Mesh at back for breathability.
• 100% Polyester.
• UPF 50 protection.";24,5;Tank;"Gym
Outdoor
Running
Yoga";"Cocona® performance fabric
Organic Cotton
Polyester";Sleeveless;Crew;Solid;"All-weather
Indoor
Warm
";$7,99
Men;Tops;Tanks;MT06-ME-BL;Vulcan Weightlifting Tank;"XS
S
M
L
XL
";"Black
Gray
Navy
Charcoal
Red 
";"The Olympic styled Vulcan Weightlifting Tank features polyester stretch and flex. Hit the rack in sleeveless style and unleash your personal best. This tank is designed to max performance, comfort and range of motion.

• Black polyester spandex tank.
• 100% polyester.
• Freedom of movement.
• No-chafe seams.";28;Tank;"Gym
Outdoor
Running
Yoga";"Cocona® performance fabric
Polyester
";Sleeveless;Crew;Solid;"All-weather
Indoor
Warm
";$9,99
Men;Tops;Tanks;MT07-ME-GR;Argus All-Weather Tank;"XS
S
M
L
XL
";"
Green
Charcoal
Tan
White
Red 
Black
";"The Argus All-Weather Tank is sure to become your favorite base layer or go-to cover for hot outdoor workouts. With its subtle reflective safely trim, you can even wear it jogging on urban evenings.

• Dark gray polyester spandex tank.
• Reflective details for nighttime visibility. 
• Stash pocket.
• Anti-chafe flatlock seams.";22,5;Tank;"Gym
Outdoor
Running
Yoga";"
Organic Cotton
Polyester
";Sleeveless;Crew;Solid;"All-weather
Indoor
Warm
";$7,00
Men;Tops;Tanks;MT08-ME-GN;Sparta Gym Tank;"XS
S
M
L
XL
";"Orange
Blue
Green
Yellow
Navy
Charcoal
Red 
";"The high performance Sparta Gym Tank is made with thin, light, merino wool and aims to be the perfect base layer or balmy weather running and fitness top. 

• Green polyester tank.
• Ultra lightweight.
• Naturally odor-resistant.
• Close-to-body athletic fit.
• Chafe-resistant flatlock seams.";29,99;Tank;"Gym
Outdoor
Running
Yoga";"
Polyester
";Sleeveless;Crew;Solid;"All-weather
Indoor
Warm
";$9,99
